NID,BEH_NUM,NOM,KOLSAMPLE,DATA_REC,AUT_REC,NAZ,SPUT,AGE,STR,GEOGRAPHY,SIZE1,SIZE2,SIZE3,WEIGHT,PRESERV,PREPAR,NAME_KOL,NOM_KOL,NAME_KAT,NOM_KAT,AUT_FIND,AGE_FIND,FAMIL_DEL,YEAR_DEL,DESCR,LITERAT,LON,LAT
29114,0006-0277,58565,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6.0,4.0,0.3,,хорошая,,Разумовский,0217,,,Рычков П.,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластина,,57.420699,51.171231
29115,0006-0231,58566,1,1996,Брюшкова Л.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть",6.5,4.5,0.5,,хорошая,,Разумовский,218,,,гр.Разумовский,до 1837,"Молошников,МГРИ",до 1858,"прямоугольная пластина,отполированная с одной плоскости;яшма зеленая с нечеткими красновато-коричневыми полосами",,57.420699,51.171231
29116,0006-0232,58567,1,1996,Брюшкова Л.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть",6.5,4.5,0.5,,хорошая,,Разумовский,219,,,гр.Разумовский,до 1837,"Молошников,МГРИ",1858,"прямоугольная пластина,отполированная с одной стороны;яшма зеленовато-коричневая пятнистая",,57.420699,51.171231
29117,0006-0233,58568,1,1996,Брюшкова Л.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть",6.5,4.5,0.5,,хорошая,,Разумовский,223,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"прямоугольная пластина,отполированная с одной плоскости;яшма зеленовато-серая,слегка перламутровая",,57.420699,51.171231
29118,0006-0278,58569,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6,4,0.3,,хорошая,,Разумовский,0225,,,Рычков П.?,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластинка,,57.420699,51.171231
29119,0006-0279,58570,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6,4,0.3,,хорошая,,Разумовский,0226,,,Рычков П.?,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластина,,57.420699,51.171231
29120,0006-0234,58571,1,1996,Андреева И.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть","6,5","4,5","0,6",,хорошая,,Разумовский,228,,,гр.Разумовский,,МГРИ,до 1858,"темно-серая с кроваво-красными расплывчатыми пятнами и светлыми тонкими прерывитыми прожилками;прямоугольная плитка,полированная",,57.420699,51.171231
29121,0006-0235,58572,1,1996,Андреева И.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть, от крепости Орской по р.Оре","6,5","4,6","0,6",,хорошая,,Разумовский,230,,,гр.Разумовский,,МГРИ,до 1858,"красная с темно-бурыми и белыми тонкими прожилками;прямоугольная пластина,отполированная с одной стороны;с одной стороны отколота!",,57.420699,51.171231
29122,0006-0236,58573,1,1996,Андреева И.П.,Плитка-агат(?),,,Россия,"Урал,Оренбургская часть","6,5","4,6","0,6",,хорошая,,Разумовский,237,,,гр.Разумовский,,МГРИ,до 1858,"коричневато-серый с белыми почти параллельными резкими прожилками;прямоугольная пластина,отполированная с одной стороны",,57.420699,51.171231
29123,0006-0280,58574,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6,4,0.3,,хорошая,,Разумовский,?,,,Рычков П.?,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластинка,,57.420699,51.171231
29124,0006-0281,58575,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6,4,0.3,,хорошая,,Разумовский,0238,,,Рычков П.?,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластинка,,57.420699,51.171231
29125,0006-0282,58576,1,1996,Брюшкова Л.П.,Яшма,,,Россия,"Урал,Оренбургская губ.",6,4,0.3,,хорошая,,Разумовский,?,,,Рычков П.?,1745?,"Молошников,МГРИ",1858,прямоугольная полированная пластинка,,57.420699,51.171231
29126,0006-0237,58577,1,1996,Андреева И.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть","6,5","4,6","0,6",,хорошая,,Разумовский,б/N(205-238),,,гр.Разумовский,,МГРИ,до 1858,"серо-зеленая слабо волнисто-полосчатая с редкими темно-зелеными пятнами;прямоугольная пластина,отполированная с одной стороны",,57.420699,51.171231
29127,0006-0238,58578,1,1996,Андреева И.П.,Плитка-яшма,,,Россия,"Урал,Оренбургская часть","6,5","4,6","0,6",,хорошая,,Разумовский,б/N(205-238),,,гр.Разумовский,,МГРИ,до 1858,"ярко-красная с белыми ветвящимися прожилками;прямоугольная пластина,отполированная с одной стороны",,57.420699,51.171231
29128,0006-0124,58650,1,1996,Андреева И.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8.1,6.2,0.4,,средняя,,Разумовский,698,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"светлый,пестро-коричневатый,мелкообломочный с реликтами фауны;прямоугольная плитка полирован.с одной стороны,склеена из 2-х половинок!",,4.15593,49.42381
29129,0006-0283,58651,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.1,6.0,0.4,,хорошая,,Разумовский,0700,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29130,0006-0125,58652,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,701,,,Разумовский,,МГРИ,до 1858,"розовато-коричневый,волнисто-окрашенныйс белыми прожилковидными обособлениями;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29131,0006-0126,58653,1,1996,Андреева И.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,703,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"вишнево-бурый,брекчеевый с белыми просвечивающими прожилками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29132,0006-0127,58654,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,2","0,4",,хорошая,,Разумовский,704,,,Разумовский,,МГРИ,,"серый с едва заметными темно-серыми разводами,ветвящимися темными прожилками и редкой тонкой вкрапленностью сульфидов;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29133,0006-0128,58655,1,1996,Брюшкова Л.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8,6,0.4,,хорошая,,Разумовский,705,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"прямоуг.плитка,полир.с одной стороны;мрамор пестрый брекчевидный",,4.15593,49.42381
29134,0006-0284,58656,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,4.0,,хорошая,,Разумовский,0706,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29135,0006-0129,58657,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,707,,,Разумовский,,МГРИ,до 1858,"черный однородный;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29136,0006-0130,58658,1,1996,Андреева И.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,708,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"розовато-коричневый с большим овальнным обломком светло-серого цвета с разноцветными включениями фауны;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29137,0006-0131,58659,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,709,,,Разумовский,,МГРИ,до 1858,"черный со светлыми точками,прожилками и разводами;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29138,0006-0285,58660,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0710,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29139,0006-0132,58661,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,711,,,Разумовский,,МГРИ,до 1858,"коричнево-сиреневый,с темно-зелеными прожилками и красными полосами;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29140,0006-0286,58662,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0712,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29141,0006-0133,58663,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,714,,,Разумовский,,МГРИ,до 1858,"темно-бордрвый пятнистый со светло-сиреневым крапом и редкими белыми прожилками;с фауной(?);прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29142,0006-0134,58664,1,1996,Брюшкова Л.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8,6,0.4,,хорошая,,Разумовский,715,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"прямоуг.плитка,полир.с одной стороны;мрамор коричневый с частой сетью тонких черных прожилков",,4.15593,49.42381
29143,0006-0135,58665,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,718,,,Разумовский,,МГРИ,до 1858,"коричнево-бырый со светлыми прожилковиднымиобособлениями(и черным);прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29144,0006-0136,58666,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,719,,,Разумовский,,МГРИ,до 1858,"темно-коричневый с ветвящимися черными прожилками и прожилковидными гнездами белого кальцита,слабо просвечивающегопрямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29145,0006-0287,58667,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0720,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29146,0006-0288,58668,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0721,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29147,0006-0137,58669,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,722,,,Разумовский,,МГРИ,до 1858,"светлый,розовато-коричневый с краснымиточками и сетью тонких серых прожилков;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29148,0006-0138,58670,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,2","0,4",,хорошая,,Разумовский,723,,,Разумовский,,МГРИ,до 1858,"черный со светлым крапом и прожилками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29149,0006-0289,58671,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0724,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29150,0006-0290,58672,1,1996,Брюшкова Л.П.,Мрамор,,,Италия,"Арденны,St.Remi",8.2,6.1,0.4,,хорошая,,Разумовский,0725,,,Разумовский Г.К.,1837 до,"Молошников,МГРИ",1858,прямоугольная полированная пластина из темно- серого мрамора с черными прожилками,,4.230778,49.399457
29151,0006-0139,58673,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","6,2","6,2","0,3",,плохая,,Разумовский,726,,,Разумовский,,МГРИ,до 1858,"серый с ветвящимися прожилкамисветло-розового кальцита(?)и желтой вкрапленностью блестящих сульфидов;прямоуг.плитка,полир.с одной стороны;трещиноватая,выколоты кусочки",,4.15593,49.42381
29152,0006-0140,58674,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,727,,,Разумовский,,МГРИ,до 1858,"серый 'седой'сгнездами просвечивающего кальцита вкрапленными агрегатами халькопирита; прямоуг. плитка, полир. с одной стороны",,4.15593,49.42381
29153,0006-0141,58675,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,728,,,Разумовский,,МГРИ,до 1858,"белый,снежно-белый,крупнокристаллический просвечивающий;;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29154,0006-0142,58676,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,730,,,Разумовский,,МГРИ,до 1858,"зеленовато-серый с редкими красными пятнами и белыми прожилками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29155,0006-0143,58677,1,1996,Брюшкова Л.П.,Плитка-мрамор,,,,"Арденны,St.Remi",8,6,"0,3",,хорошая,,Разумовский,731,,,Разумовский,,МГРИ,до 1858,"прямоуг.плитка,полир.с одной стороны;мрамор желтый с частой сетью тонких прожилков",,4.15593,49.42381
29156,0006-0144,58678,1,1996,Брюшкова Л.П.,Плитка-мрамор,,,Франция,"Арденны,St.Remi",8,6,0.3,,хорошая,,Разумовский,733,,,Разумовский,до 1837,"Молошников,МГРИ",до 1858,"прямоуг.плитка,полир.с одной стороны;мрамор темный серовато-коричневый-брекчия",,4.15593,49.42381
29157,0006-0145,58679,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,плохая,,Разумовский,734,,,Разумовский,,МГРИ,до 1858,"белый зернистый,с коричневыми полосками,просвечивающий;прямоуг.плитка,полир.с одной стороны;один угол сколот",,4.15593,49.42381
29158,0006-0146,58680,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,735,,,Разумовский,,МГРИ,до 1858,"серый,пятнистый,с белым гнездом,возможно реликтами фауны;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29159,0006-0147,58681,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,736,,,Разумовский,,МГРИ,до 1858,"серо-зеленый,брекчеевый,разбит т/зелеными тонкими прожилками;реликты фауны(?)сиренево-серого цвета и прерывистые белые прожилки;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29160,0006-0148,58682,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,737,,,Разумовский,,МГРИ,до 1858,"серо-бежевый с пятнистыми остатками фауны;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29161,0006-0149,58683,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,738,,,Разумовский,,МГРИ,до 1858,"сиренево-серый,с желтым(ржавым)пятном и белыми точками,возможно с фауной;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29162,0006-0150,58684,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,739,,,Разумовский,,МГРИ,до 1858,"сиренево-серый,пятнистый,возможно с реликтами фауны;прямоуг.плитка,полир.c одной стороны",,4.15593,49.42381
29163,0006-0151,58685,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,2","6,1","0,4",,хорошая,,Разумовский,740,,,Разумовский,,МГРИ,до 1858,"зеленый с вишневыми пятнами и разводами и белыми точками и прожилками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29164,0006-0152,58686,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi",8,6,"0,4",,хорошая,,Разумовский,742,,,Разумовский,,МГРИ,до 1858,"темно-красный с белыми мелкими вкраплениями и пятнами,возможно с реликтами фауны;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29165,0006-0153,58687,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,1",6,"0,4",,хорошая,,Разумовский,б/N(698-742),,,Разумовский,,МГРИ,до 1858,"коричневато-серый с темными прожилками и неравномерным светлым крапом;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29166,0006-0154,58688,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,1","6,0","0,4",,хорошая,,Разумовский,б/N(698-742),,,Разумовский,,МГРИ,до 1858,"сиреневато-серый с извилистой сетью тонких красноватых прожилковпрямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29167,0006-0155,58689,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,1","6,0","0,4",,хорошая,,Разумовский,б/N(698-742),,,Разумовский,,МГРИ,до 1858,"темно-бордрвый с темно-серыми расплывчатыми прожилками и белыми точками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29168,0006-0156,58690,1,1996,Андреева И.П.,Плитка-мрамор,,,,"Арденны,St.Remi","8,1","6,0","0,4",,хорошая,,Разумовский,б/N(698-742),,,Разумовский,,МГРИ,до 1858,"серый с темными прожилками и белыми пятнами и точечками;прямоуг.плитка,полир.с одной стороны",,4.15593,49.42381
29169,0006-0157,58691,1,1996,Андреева И.П.,Плитка-гипс(?),,,,,"7,8","7,0","1,2",,хорошая,,Разумовский,379,,,Разумовский,,МГРИ,до 1858,"розовато-сиреневого цвета с лучисто-волокнистым рисунком,просвечивающий;квадратн.плитка.полир.с одной стороны",,,
29170,0006-0158,58692,1,1996,Андреева И.П.,Плитка-гипс,,,,,"7,6","6,9","0,9",,хорошая,,Разумовский,380,,,Разумовский,,МГРИ,до 1858,"зеленовато-белый с розовым,лучисто-волокнистый,просвеч.; квадратн.плитка,полир.с одной стороны",,,
29171,0006-0159,58693,1,1996,Андреева И.П.,Плитка-гипс(?),,,,,"7,8","7,0","1,2",,хорошая,,Разумовский,381,,,Разумовский,,МГРИ,до 1858,"зеленовато-белый с розоватым,просвечивающий;квадратн.плитка,полир.с одной стороны",,,
29172,0006-0160,58694,1,1996,Андреева И.П.,Плитка-гипс,,,,,"7,7","6,9","1,2",,хорошая,,Разумовский,383,,,Разумовский,,МГРИ,до 1858,"розовый с белым,лучисто-волокнистый,просвечивающий;квадратн.плитка,полир.с одной стороны",,,
29173,0006-0161,58695,1,1996,Андреева И.П.,Плитка-гипс,,,,,"7,8","6,8","1,1",,хорошая,,Разумовский,384,,,Разумовский,,МГРИ,до 1858,"зеленовато-белый с серыми полосами,просвечивающий,лучисто-волокнистый; квадратн.плитка,полир.с одной стороны",,,
29174,0006-0162,58696,1,1996,Андреева И.П.,Плитка-гипс(?),,,,,"7,5","6,9","1,2",,хорошая,,Разумовский,378,,,Разумовский,,МГРИ,до 1858,"светло-серый с белым и зеленоватым ,волокнисто-лучистый,просвечивающий;квадратн. плитка,полир.с одной стороны",,,
29175,0006-0163,58698,1,1996,Андреева И.П.,Плитка-мрамор палевской,,,Россия,Урал,"6,7","6,6","1,0",,хорошая,,Разумовский,б/N(780-784),,,Разумовский,,МГРИ,до 1858,"белый,просвечивающий,кристаллический с рыжей полосой и черными дендритами марганца;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29176,0006-0164,58699,1,1996,Андреева И.П.,Плитка-мрамор вознесенский,,,Россия,Урал,"6,6","6,6","1,0",,хорошая,,Разумовский,795,,,Разумовский,,МГРИ,до 1858,"светлый,бледно-бежевый с белыми волокнистыми ветвящимися прожилками и пятнами медового,просвечивающего розовым;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29177,0006-0165,58700,1,1996,Андреева И.П.,Плитка-мрамор черновский(?),,,Россия,Урал,"6,6","6,5","1,0",,хорошая,,Разумовский,798,,,Разумовский,,МГРИ,до 1858,"коричневый с золотистым,пятнисто-полосчатый;квадратн.плитка, полир.с одной стороны(плохо)",,55.641218,51.73262
29178,0006-0166,58701,1,1996,Андреева И.П.,Плитка-мрамор талицкий,,,Россия,Урал,"6,7","6,7","1,0",,хорошая,,Разумовский,801,,,Разумовский,,МГРИ,до 1858,"белый с бледно-бежевыми полосками,просвечивающий;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29179,0006-0167,58702,1,1996,Андреева И.П.,Плитка-мрамор петуховский,,,Россия,Урал,"6,6","6,6","1,0",,хорошая,,Разумовский,802,,,Разумовский,,МГРИ,до 1858,"белый,голубовато-серый,просвечивающий,мелко-зернистый;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29180,0006-0168,58703,1,1996,Андреева И.П.,Плитка-мрамор петуховский,,,Россия,Урал,"6,8","6,8","1,0",,хорошая,,Разумовский,802,,,Разумовский,,МГРИ,до 1858,"серый,голубовато-светло-серый;квадратн.плитка, полир.с одной стороны",,55.641218,51.73262
29181,0006-0169,58704,1,1996,Андреева И.П.,Плитка-мрамор кособродский,,,Россия,Урал,"6,6","6,5","1,0",,хорошая,,Разумовский,б/N(803-805),,,Разумовский,,МГРИ,до 1858,"светло-серый,крупнокристаллический,просвечивающий;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29182,0006-0170,58705,1,1996,Андреева И.П.,Плитка-мрамор булзинский,,,Россия,Урал,"6,6","6,5","1,0",,хорошая,,Разумовский,810,,,Разумовский,,МГРИ,до 1858,"серый,волокнисто-полосчатый;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29183,0006-0171,58706,1,1996,Андреева И.П.,Плитка-мрамор булзинский,,,Россия,Урал,"6,7","6,6","1,0",,хорошая,,Разумовский,811,,,Разумовский,,МГРИ,до 1858,"серый с темными волнистыми полосами и белыми раскристаллиован.пятнами;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29184,0006-0172,58707,1,1996,Андреева И.П.,Плитка-мрамор булзинский,,,Россия,Урал,"6,8","6,8","1,2",,хорошая,,Разумовский,б/N(810-812),,,Разумовский,,МГРИ,до 1858,"темно-серый с белыми разводами;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29185,0006-0173,58708,1,1996,Андреева И.П.,Плитка-мрамор анжелинский,,,Россия,Урал,"6,7","6,7","1,0",,хорошая,,Разумовский,б/N(814-815),,,Разумовский,,МГРИ,до 1858,"золотисто-желтй,кристаллический,слабо просвечивающий;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29186,0006-0174,58709,1,1996,Андреева И.П.,Плитка-мрамор палевской,,,Россия,Урал,"6,7","6,7","0,9",,хорошая,,Разумовский,б/N(780-784),,,Разумовский,,МГРИ,до 1858,"светло-серый,туманно-снежный,просвечивающий; квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29187,0006-0175,58710,1,1996,Андреева И.П.,Плитка-мрамор северский,,,Россия,Урал,"6,5","6,5","1,0",,хорошая,,Разумовский,787,,,Разумовский,,МГРИ,до 1858,"серый с белыми причудливыми разводами и черными точкаим;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29188,0006-0176,58711,1,1996,Андреева И.П.,Плитка-мрамор северский,,,Россия,Урал,,,,,хорошая,,Разумовский,б/N(785-787),,,Разумовский,,МГРИ,до 1858,"серый с черными точками и беловатыми,'туманными'разводами;квадратн.плитка, полир.с одной стороны",,55.641218,51.73262
29189,0006-0177,58712,1,1996,Андреева И.П.,Плитка-мрамор северский,,,Россия,Урал,"6,8","6,8","1,2",,хорошая,,Разумовский,б/N(785-787),,,Разумовский,,МГРИ,до 1858,"серый с темно-серым,волнисто-полосчатый;квадратн.плитка, полир.,с одной стороны",,55.641218,51.73262
29190,0006-0178,58713,1,1996,Андреева И.П.,Плитка-мрамор горношитский,,,Россия,Урал,,,,,хорошая,,Разумовский,б/N(788-791),,,Разумовский,,МГРИ,до 1858,"серый с белым,с волнисто-размытым рисунком;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29191,0006-0179,58714,1,1996,Андреева И.П.,Плитка-мрамор горношитский,,,Россия,Урал,"6,6","6,6","0,9",,хорошая,,Разумовский,б/N(788-791),,,Разумовский,,МГРИ,до 1858,"светло-серый с белыми разводами тонкими черными ровными полосами;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29192,0006-0180,58715,1,1996,Андреева И.П.,Плитка-мрамор горношитский,,,Россия,Урал,"6,6","6,6","0,9",,хорошая,,Разумовский,б/N(788-791),,,Разумовский,,МГРИ,до 1858,"черно-серый с белыми овальными включениями(реликты фауны?);квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29193,0006-0181,58716,1,1996,Андреева И.П.,Плитка-мрамор нижнетагильский,,,Россия,Урал,"6,8","6,8","1,2",,хорошая,,Разумовский,794,,,Разумовский,,МГРИ,до 1858,"темно-бурый с желтовато-белыми разводами;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29194,0006-0182,58717,1,1996,Андреева И.П.,Плитка-мрамор нижнетагильский,,,Россия,Урал,"6,7","6,7","0,9",,хорошая,,Разумовский,816,,,Разумовский,,МГРИ,до 1858,"белый,слабо желтоватый,крупнокристаллический,просвечивающий;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29195,0006-0183,58718,1,1996,Андреева И.П.,Плитка-мрамор туринский,,,Россия,Урал,"6,7","6,6","0,9",,хорошая,,Разумовский,796,,,Разумовский,,МГРИ,до 1858,"вишнево-красный с белым,возможно с реликтами фауны;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29196,0006-0184,58719,1,1996,Андреева И.П.,Плитка-мрамор поперетинский(?),,,Россия,Урал,"6,7","6,76","1,0",,хорошая,,Разумовский,813,,,Разумовский,,МГРИ,до 1858,"серо-коричневый с интересным рисунком за счет окаменелых раковин(?);квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29197,0006-0185,58720,1,1996,Андреева И.П.,Плитка-мрамор песошный,,,Россия,Урал,"6,6","6,6","0,9",,хорошая,,Разумовский,б/N(807-809),,,Разумовский,,МГРИ,до 1858,"темно-серый с белым,волнисто-полосчатый;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29198,0006-0186,58721,1,1996,Андреева И.П.,Плитка-мрамор горношитский,,,Россия,Урал,"6,6","6,6","0,9",,хорошая,,Разумовский,б/N(788-791),,,Разумовский,,МГРИ,до 1858,"белый с черными и серыми прожилками,крупнокристаллический,слабо просвечивающий;квадратн.плитка,полир.с одной стороны",,55.641218,51.73262
29199,0006-0001,58728,1,1996,Андреева И.П.,Плитка-мрамор,,,Италия,,"7,4","7,4","0,3",,хорошая,,Разумовский,696,,,Разумовский,,МГРИ,до 1858,"серо-белый с размытыми волнистыми полосами,мелкозернистый,просвечивающий; квадратн.плитка,полир.с одной стороны",,10.349284,44.954457
29200,0006-0002,58729,1,1996,Андреева И.П.,Плитка-мрамор,,,Италия,,"7,4","7,4","0,6",,хорошая,,Разумовский,532,,,Разумовский,,МГРИ,до 1858,"белый,серо-белый с тонкими прямыми полосами,слабо просвечивающ.;квадратн.плитка,полир.с одной стороны",,10.349284,44.954457
